+---------------+------+--------+-------+-----------+
|   series id   | year | period | value | footnotes |
+---------------+------+--------+-------+-----------+
| APU0000704111 | 2020 |  M04   | 5.346 |           |
| APU0000704111 | 2020 |  M03   | 5.257 |           |
| APU0000704111 | 2020 |  M02   | 5.497 |           |
| APU0000704111 | 2020 |  M01   | 5.505 |           |
| APU0000704111 | 2019 |  M12   | 5.474 |           |
| APU0000704111 | 2019 |  M11   | 5.505 |           |
| APU0000704111 | 2019 |  M10   | 5.653 |           |
| APU0000704111 | 2019 |  M09   | 5.571 |           |
| APU0000704111 | 2019 |  M08   | 5.576 |           |
| APU0000704111 | 2019 |  M07   | 5.701 |           |
| APU0000704111 | 2019 |  M06   | 5.878 |           |
| APU0000704111 | 2019 |  M05   | 5.812 |           |
| APU0000704111 | 2019 |  M04   | 5.552 |           |
| APU0000704111 | 2019 |  M03   | 5.608 |           |
| APU0000704111 | 2019 |  M02   | 5.502 |           |
| APU0000704111 | 2019 |  M01   | 5.518 |           |
| APU0000704111 | 2018 |  M12   | 5.502 |           |
| APU0000704111 | 2018 |  M11   | 5.392 |           |
| APU0000704111 | 2018 |  M10   | 5.370 |           |
| APU0000704111 | 2018 |  M09   | 5.501 |           |
| APU0000704111 | 2018 |  M08   | 5.577 |           |
| APU0000704111 | 2018 |  M07   | 5.418 |           |
| APU0000704111 | 2018 |  M06   | 5.247 |           |
| APU0000704111 | 2018 |  M05   | 5.452 |           |
| APU0000704111 | 2018 |  M04   | 5.421 |           |
| APU0000704111 | 2018 |  M03   | 5.527 |           |
| APU0000704111 | 2018 |  M02   | 5.533 |           |
| APU0000704111 | 2018 |  M01   | 5.654 |           |
| APU0000704111 | 2017 |  M12   | 5.629 |           |
| APU0000704111 | 2017 |  M11   | 5.708 |           |
| APU0000704111 | 2017 |  M10   | 6.066 |           |
| APU0000704111 | 2017 |  M09   | 6.366 |           |
| APU0000704111 | 2017 |  M08   | 6.241 |           |
| APU0000704111 | 2017 |  M07   | 5.819 |           |
| APU0000704111 | 2017 |  M06   | 5.665 |           |
| APU0000704111 | 2017 |  M05   | 5.699 |           |
| APU0000704111 | 2017 |  M04   | 5.775 |           |
| APU0000704111 | 2017 |  M03   | 5.745 |           |
| APU0000704111 | 2017 |  M02   | 5.334 |           |
| APU0000704111 | 2017 |  M01   | 5.180 |           |
| APU0000704111 | 2016 |  M12   | 5.102 |           |
| APU0000704111 | 2016 |  M11   | 5.106 |           |
| APU0000704111 | 2016 |  M10   | 5.375 |           |
| APU0000704111 | 2016 |  M09   | 5.481 |           |
| APU0000704111 | 2016 |  M08   | 5.448 |           |
| APU0000704111 | 2016 |  M07   | 5.454 |           |
| APU0000704111 | 2016 |  M06   | 5.374 |           |
| APU0000704111 | 2016 |  M05   | 5.552 |           |
| APU0000704111 | 2016 |  M04   | 5.613 |           |
| APU0000704111 | 2016 |  M03   | 5.494 |           |
| APU0000704111 | 2016 |  M02   | 5.394 |           |
| APU0000704111 | 2016 |  M01   | 5.656 |           |
| APU0000704111 | 2015 |  M12   | 5.734 |           |
| APU0000704111 | 2015 |  M11   | 5.847 |           |
| APU0000704111 | 2015 |  M10   | 5.899 |           |
| APU0000704111 | 2015 |  M09   | 5.734 |           |
| APU0000704111 | 2015 |  M08   | 5.410 |           |
| APU0000704111 | 2015 |  M07   | 5.184 |           |
| APU0000704111 | 2015 |  M06   | 5.059 |           |
| APU0000704111 | 2015 |  M05   | 4.940 |           |
| APU0000704111 | 2015 |  M04   | 5.211 |           |
| APU0000704111 | 2015 |  M03   | 5.367 |           |
| APU0000704111 | 2015 |  M02   | 5.472 |           |
| APU0000704111 | 2015 |  M01   | 5.589 |           |
| APU0000704111 | 2014 |  M12   | 5.531 |           |
| APU0000704111 | 2014 |  M11   | 5.574 |           |
| APU0000704111 | 2014 |  M10   | 5.759 |           |
| APU0000704111 | 2014 |  M09   | 5.953 |           |
| APU0000704111 | 2014 |  M08   | 6.068 |           |
| APU0000704111 | 2014 |  M07   | 6.009 |           |
| APU0000704111 | 2014 |  M06   | 6.106 |           |
| APU0000704111 | 2014 |  M05   | 6.048 |           |
| APU0000704111 | 2014 |  M04   | 5.690 |           |
| APU0000704111 | 2014 |  M03   | 5.552 |           |
| APU0000704111 | 2014 |  M02   | 5.461 |           |
| APU0000704111 | 2014 |  M01   | 5.563 |           |
| APU0000704111 | 2013 |  M12   | 5.544 |           |
| APU0000704111 | 2013 |  M11   | 5.615 |           |
| APU0000704111 | 2013 |  M10   | 5.708 |           |
| APU0000704111 | 2013 |  M09   | 5.680 |           |
| APU0000704111 | 2013 |  M08   | 5.618 |           |
| APU0000704111 | 2013 |  M07   | 5.494 |           |
| APU0000704111 | 2013 |  M06   | 5.334 |           |
| APU0000704111 | 2013 |  M05   | 5.092 |           |
| APU0000704111 | 2013 |  M04   | 4.887 |           |
| APU0000704111 | 2013 |  M03   | 4.909 |           |
| APU0000704111 | 2013 |  M02   | 4.831 |           |
| APU0000704111 | 2013 |  M01   | 4.722 |           |
| APU0000704111 | 2012 |  M12   | 4.639 |           |
| APU0000704111 | 2012 |  M11   | 4.640 |           |
| APU0000704111 | 2012 |  M10   | 4.661 |           |
| APU0000704111 | 2012 |  M09   | 4.692 |           |
| APU0000704111 | 2012 |  M08   | 4.609 |           |
| APU0000704111 | 2012 |  M07   | 4.365 |           |
| APU0000704111 | 2012 |  M06   | 4.326 |           |
| APU0000704111 | 2012 |  M05   | 4.385 |           |
| APU0000704111 | 2012 |  M04   | 4.533 |           |
| APU0000704111 | 2012 |  M03   | 4.600 |           |
| APU0000704111 | 2012 |  M02   | 4.655 |           |
| APU0000704111 | 2012 |  M01   | 4.571 |           |
| APU0000704111 | 2011 |  M12   | 4.550 |           |
| APU0000704111 | 2011 |  M11   | 4.637 |           |
| APU0000704111 | 2011 |  M10   | 4.586 |           |
| APU0000704111 | 2011 |  M09   | 4.819 |           |
| APU0000704111 | 2011 |  M08   | 4.770 |           |
| APU0000704111 | 2011 |  M07   | 4.755 |           |
| APU0000704111 | 2011 |  M06   | 4.840 |           |
| APU0000704111 | 2011 |  M05   | 4.770 |           |
| APU0000704111 | 2011 |  M04   | 4.662 |           |
| APU0000704111 | 2011 |  M03   | 4.537 |           |
| APU0000704111 | 2011 |  M02   | 4.366 |           |
| APU0000704111 | 2011 |  M01   | 4.250 |           |
+---------------+------+--------+-------+-----------+
